Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status
AAE 101,INTRODUCTION TO AEROSPACE ENGINEERING,AAE,100,FIRST,2,CORE,No,MISSING
AAE 331,MECHANICS OF AEROSPACE STRUCTUES,AAE,300,FIRST,2,CORE,No,EXISTS
AAE 335,ORBITAL MECHANICS I,AAE,300,FIRST,3,CORE,No,EXISTS
AAE 336,ORBITAL MECHANICS II,AAE,300,SECOND,2,CORE,No,EXISTS
AAE 338,ANALYSIS OF AEROSPACE STRUCTURAL MECHANICS I,AAE,300,SECOND,2,CORE,No,EXISTS
AAE 341,AERODYNAMICS I,AAE,300,FIRST,3,CORE,No,MISSING
AAE 342,AERODYNAMICS II,AAE,300,SECOND,3,CORE,No,EXISTS
AAE 343,THERMODYNAMICS FOR AEROSPACE ENGINEERING,AAE,300,FIRST,3,CORE,No,EXISTS
AAE 345,AIRCRAFT MATERIALS,AAE,300,FIRST,2,CORE,No,EXISTS
AAE 347,AIRCRAFT FLIGHT PRINCIPLES I,AAE,300,FIRST,3,CORE,No,EXISTS
AAE 348,AIRCRAFT FLIGHT PRINCIPLES II,AAE,300,SECOND,3,CORE,No,EXISTS
AAE 352,AIRCRAFT DYNAMICS AND CONTROL,AAE,300,SECOND,3,CORE,No,EXISTS
AAE 361,AEROSPACE TEHCNOLOGY LABORATORY,AAE,300,FIRST,2,CORE,No,EXISTS
AAE 362,AEROSPACE TECHNOLOGY LAB II,AAE,300,SECOND,2,CORE,No,MISSING
AAE 372,AEROSPACE NUMERICAL METHODS,AAE,300,SECOND,2,CORE,No,EXISTS
AAE 411,CONTROL SYSTEMS OF AAE,AAE,400,FIRST,2,CORE,No,MISSING
AAE 431,AIRCRAFT AND SPACECRAFT PROPULSION,AAE,400,FIRST,3,CORE,No,MISSING
AAE 433,COMBUSTION PROCESSES,AAE,400,FIRST,3,CORE,No,MISSING
AAE 437,ANALYSISNOF AEROSPACE STRUCTURAL MECHANICS II,AAE,400,FIRST,2,CORE,No,MISSING
AAE 443,INTRODUCTION TO TURBULENT FLOWS,AAE,400,FIRST,2,CORE,No,MISSING
AAE 453,DYNAMICS AND CONTROL OF SPACECRAFTS,AAE,400,FIRST,3,CORE,No,MISSING
AAE 463,AIRCRAFT PERFORMANCE,AAE,400,FIRST,3,CORE,No,MISSING
AAE 465,AEROSPACE SYSTEMS DESIGN,AAE,400,FIRST,2,CORE,No,MISSING
AAE 535,AIRCRAFT MAINTENANCE MANAGEMENT,AAE,500,FIRST,2,CORE,No,MISSING
AAE 543,HEAT TRANSFER,AAE,500,FIRST,2,CORE,No,MISSING
AAE 545,SYSTEMS MODELLING AND SIMULATION,AAE,500,FIRST,2,CORE,No,MISSING
AAE 546,COMPUTATIONAL FLUID DYNAMICS,AAE,500,SECOND,3,CORE,No,MISSING
AAE 555,AIRCRAFT STABILITY AND CONTROL,AAE,500,FIRST,3,CORE,No,MISSING
AAE 562,AIRCRAFT CONCEPTUAL DESIGN II,AAE,500,SECOND,3,CORE,No,MISSING
AAE 5633,GAS TURBINE PROPULSION,AAE,500,FIRST,3,CORE,No,MISSING
AAE 565,AIRCRAFT CONCEPTUAL DESIGN I,AAE,500,FIRST,3,CORE,No,MISSING
AAE 571,RELIABILITY AND QUALITY ASSURANCE,AAE,500,FIRST,2,ELECTIVE,Yes,MISSING
AAE 572,SPACE SYSTEMS ENGINEERING,AAE,500,SECOND,2,ELECTIVE,Yes,MISSING
AAE 574,SPACECRAFT FLIGHT,AAE,500,SECOND,2,ELECTIVE,Yes,MISSING
AAE 576,SPACE VEHICLE DEVELOPMENT,AAE,500,SECOND,2,ELECTIVE,Yes,MISSING
AAE 578,AVIONICS SYSTEMS ENGINEERING,AAE,500,SECOND,3,CORE,No,MISSING
AAE 582,AVIATION SAFETY AND LAW,AAE,500,SECOND,2,CORE,No,MISSING
AAE 586,AIRPORT DESIGN AND MANAGEMENT,AAE,500,SECOND,2,CORE,No,MISSING
AAE 592,RESEARCH PROJECT,AAE,500,SECOND,6,CORE,No,MISSING
AFE 101,HEALTH COMMUNICATION,AFE,100,FIRST,1,CORE,No,EXISTS
AFE 103,LEADERSHIP STUDIES,AFE,100,FIRST,1,CORE,No,EXISTS
AFE 124,FRENCH LANGUAGE I,AFE,100,SECOND,1,CORE,No,MISSING
