Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status,Priority,Category
AAE 101,INTRODUCTION TO AEROSPACE ENGINEERING,AAE,100,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 331,MECHANICS OF AEROSPACE STRUCTUES,AAE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 335,ORBITAL MECHANICS I,AAE,300,FIRST,3,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 336,ORBITAL MECHANICS II,AAE,300,SECOND,2,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 338,ANALYSIS OF AEROSPACE STRUCTURAL MECHANICS I,AAE,300,SECOND,2,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 341,AERODYNAMICS I,AAE,300,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 342,AERODYNAMICS II,AAE,300,SECOND,3,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 343,THERMODYNAMICS FOR AEROSPACE ENGINEERING,AAE,300,FIRST,3,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 345,AIRCRAFT MATERIALS,AAE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 347,AIRCRAFT FLIGHT PRINCIPLES I,AAE,300,FIRST,3,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 348,AIRCRAFT FLIGHT PRINCIPLES II,AAE,300,SECOND,3,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 352,AIRCRAFT DYNAMICS AND CONTROL,AAE,300,SECOND,3,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 361,AEROSPACE TEHCNOLOGY LABORATORY,AAE,300,FIRST,2,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 362,AEROSPACE TECHNOLOGY LAB II,AAE,300,SECOND,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 372,AEROSPACE NUMERICAL METHODS,AAE,300,SECOND,2,CORE,No,EXISTS,MEDIUM - Core Program Incomplete,Core Engineering
AAE 411,CONTROL SYSTEMS OF AAE,AAE,400,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 431,AIRCRAFT AND SPACECRAFT PROPULSION,AAE,400,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 433,COMBUSTION PROCESSES,AAE,400,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 437,ANALYSISNOF AEROSPACE STRUCTURAL MECHANICS II,AAE,400,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 443,INTRODUCTION TO TURBULENT FLOWS,AAE,400,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 453,DYNAMICS AND CONTROL OF SPACECRAFTS,AAE,400,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 463,AIRCRAFT PERFORMANCE,AAE,400,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 465,AEROSPACE SYSTEMS DESIGN,AAE,400,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 535,AIRCRAFT MAINTENANCE MANAGEMENT,AAE,500,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 543,HEAT TRANSFER,AAE,500,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 545,SYSTEMS MODELLING AND SIMULATION,AAE,500,FIRST,2,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 546,COMPUTATIONAL FLUID DYNAMICS,AAE,500,SECOND,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 555,AIRCRAFT STABILITY AND CONTROL,AAE,500,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 562,AIRCRAFT CONCEPTUAL DESIGN II,AAE,500,SECOND,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 5633,GAS TURBINE PROPULSION,AAE,500,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 565,AIRCRAFT CONCEPTUAL DESIGN I,AAE,500,FIRST,3,CORE,No,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 571,RELIABILITY AND QUALITY ASSURANCE,AAE,500,FIRST,2,ELECTIVE,Yes,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 572,SPACE SYSTEMS ENGINEERING,AAE,500,SECOND,2,ELECTIVE,Yes,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
AAE 574,SPACECRAFT FLIGHT,AAE,500,SECOND,2,ELECTIVE,Yes,MISSING,MEDIUM - Core Program Incomplete,Core Engineering
